# You can find the dataset in the paper titled "NSGAN: A Non-dominated Sorting Optimization-based Generative Adversarial Design Framework for Alloy Discovery." And for your convenience in reviewing, we have pasted the entire contents of the dataset below.
 \,Processing,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Pb,Sc,Si,Sn,Ti,V,Zn,Zr,Elongation (%),Tensile Strength (MPa),Yield Strength (MPa),class
74,Strain hardened,0,0.98075,0,0,0,0,0,0.001,0.001,0,0,0.0035,0,0,0.00675,0.001,0,0,0,0.004,0,0.001,0,0.001,0,20,150,,7
75,Strain hardened,0,0.971,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.027,0.0008,0,0,0,0,0,0,0,0,0,18,250,125,7
76,Strain hardened,0,0.9635,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0275,0.008,0,0,0,0,0,0,0,0,0,18,248.211252,124.105626,7
77,Strain hardened,0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,25,240,115,7
78,Strain hardened,0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,25,240,115,7
79,Strain hardened,0,0.9625,0,0,0,0,0,0.0025,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,25,241.316495,117.210869,7
80,Strain hardened,0,0.958197747,0,0,0,0,0,0.001251564,0.000500626,0,0,0.002002503,0,0,0.027033792,0.007509387,0,0,0,0.001251564,0,0.001001252,0,0.001251564,0,13,225.5,103.5,7
81,Strain hardened,0,0.9545,0,0,0,0,0,0.001,0,0,0,0,0,0,0.04,0.0045,0,0,0,0,0,0,0,0,0,14,268.895523,131.000383,7
82,Strain hardened,0,0.954,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.04,0.0045,0,0,0,0,0,0,0,0,0,14,270,130,7
83,Strain hardened,0,0.946946947,0,0,0,0,0,0.001501502,0.000500501,0,0,0.002502503,0,0,0.04004004,0.004504505,0,0,0,0.002002002,0,0.000750751,0,0.001251251,0,11,246.5,110.5,7
84,Strain hardened,0,0.9465,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0445,0.008,0,0,0,0,0,0,0,0,0,20,296.474551,158.579411,7
85,Strain hardened,0,0.940470235,0,0,0,0,0,0.00150075,0.00050025,0,0,0.002001001,0,0,0.044522261,0.007003502,0,0,0,0.002001001,0,0.000750375,0,0.001250625,0,12.95,283,117,7
86,Strain hardened,0,0.9385,0,0,0,0,0,0.001,0,0,0,0,0,0,0.0525,0.008,0,0,0,0,0,0,0,0,0,22,310.264065,165.474168,7
87,Strain hardened,0,0.934233558,0,0,0,0,0,0.001250313,0.000500125,0,0,0.0020005,0,0,0.051012753,0.007501875,0,0,0,0.001250313,0,0.00100025,0,0.001250313,0,12.95,298,130.5,7
88,Strain hardened,0,0.79,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,10,193.053196,172.368925,7
89,Strain hardened,0,0.954,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.04,0.0045,0,0,0,0,0,0,0,0,0,12,290,205,7
90,Strain hardened,0,0.9475,0,0,0,0,0,0.0015,0,0,0,0,0,0,0.044,0.007,0,0,0,0,0,0,0,0,0,,315,230,7
91,Strain hardened,0,0.947,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.051,0.0008,0,0,0,0,0,0,0,0,0,,350,255,7
92,Strain hardened,0,0.9988,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,110,105,7
93,Strain hardened,0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,10,140,130,7
94,Strain hardened,0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.006,0,0,0,0,0,0,0,0,0,7,150,130,7
95,Strain hardened,0,0.9868,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,10,130,125,7
96,Strain hardened,0,0.969484742,0,0,0,0,0,0,0.001250625,0,0,0.003501751,0,0,0.010505253,0.012506253,0,0,0,0.00150075,0,0,0,0.001250625,0,11.25,185.5,157.5,7
97,Strain hardened,0,0.958719039,0,0,0,0,0,0.001501126,0.000500375,0,0,0.002001501,0,0,0.031023267,0.002501876,0,0,0,0.002001501,0,0.000750563,0,0.001000751,0,14.5,232.5,166,7
98,Strain hardened,0,0.958197747,0,0,0,0,0,0.001251564,0.000500626,0,0,0.002002503,0,0,0.027033792,0.007509387,0,0,0,0.001251564,0,0.001001252,0,0.001251564,0,14.05,265,205,7
99,Strain hardened,0,0.95623906,0,0,0,0,0,0.002500625,0.000500125,0,0,0.0020005,0,0,0.035008752,0.000500125,0,0,0,0.001250313,0,0.00100025,0,0.00100025,0,13,265,205,7
100,Strain hardened,0,0.945709282,0,0,0,0,0,0.000500375,0.000750563,0,0,0.001751313,0,0,0.045033775,0.003502627,0,0,0,0.001000751,0,0.000500375,0,0.001250938,0,12,317,234,7
101,Strain hardened,0,0.953,0,0,0,0,0,0,0,0,0,0,0,0.006,0.041,0,0,0,0,0,0,0,0,0,0,23,287.5,145,7
102,Strain hardened,0,0.953,0,0,0,0,0,0,0,0,0,0,0,0.006,0.041,0,0,0,0,0,0,0,0,0,0,23,287.5,145,7
103,Strain hardened,0,0.948,0,0,0,0,0,0,0,0,0,0,0,0.011,0.041,0,0,0,0,0,0,0,0,0,0,17.1,350,220,7
104,Strain hardened,0,0.948,0,0,0,0,0,0,0,0,0,0,0,0.011,0.041,0,0,0,0,0,0,0,0,0,0,17.1,350,220,7
105,Strain hardened,0,0.942,0,0,0,0,0,0,0,0,0,0,0,0.017,0.041,0,0,0,0,0,0,0,0,0,0,9.3,427.5,315,7
106,Strain hardened,0,0.942,0,0,0,0,0,0,0,0,0,0,0,0.017,0.041,0,0,0,0,0,0,0,0,0,0,9.3,427.5,315,7
107,Strain Harderned (Hard),0,0.9988,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,125,115,5
108,Strain Harderned (Hard),0,0.998749062,0,0,0,0,0,0,0.000250188,0,0,0,0,0,0,0.000250188,0,0,0,0,0,0.000250188,0,0.000500375,0,8,125,115,5
109,Strain Harderned (Hard),0,0.996,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.001,0,0,0,0,0,12,96.526598,89.631841,5
110,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0.0002,0,0,0.0002,0,0,0,0.0002,0,0,0,0.007,0,0.0002,0,0.0002,0,9,124.105626,117.210869,5
111,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,6,160,150,5
112,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,6,158.579411,151.684654,5
113,Strain Harderned (Hard),0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.006,0,0,0,0,0,0,0,0,0,5,170,150,5
114,Strain Harderned (Hard),0,0.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,8,151.684654,144.789897,5
115,Strain Harderned (Hard),0,0.9868,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,8,150,145,5
116,Strain Harderned (Hard),0,0.983237428,0,0,0,0,0,0.000500375,0.001000751,0,0,0.003502627,0,0,0.008006005,0.001000751,0,0,0,0.001501126,0,0,0,0.001250938,0,11,160,145,5
117,Strain Harderned (Hard),0,0.978478478,0,0,0,0,0,0.000500501,0.000500501,0,0,0.003503504,0,0,0.001501502,0.012012012,0,0,0,0.002502503,0,0,0,0.001001001,0,9,155,140,5
118,Strain Harderned (Hard),0,0.977988994,0,0,0,0,0,0.0010005,0.00150075,0,0,0.003501751,0,0,0.005002501,0.005502751,0,0,0,0.003001501,0,0.00050025,0,0.002001001,0,2.05,180,150.5,5
119,Strain Harderned (Hard),0,0.968968969,0,0,0,0,0,0.000750751,0.000750751,0,0,0.002502503,0,0,0.020520521,0.003003003,0,0,0,0.002002002,0,0.000750751,0,0.000750751,0,12,230.5,190.5,5
120,Strain Harderned (Hard),0,0.958719039,0,0,0,0,0,0.001501126,0.000500375,0,0,0.002001501,0,0,0.031023267,0.002501876,0,0,0,0.002001501,0,0.000750563,0,0.001000751,0,12,255,189,5
121,Strain Harderned (Hard),0,0.958197747,0,0,0,0,0,0.001251564,0.000500626,0,0,0.002002503,0,0,0.027033792,0.007509387,0,0,0,0.001251564,0,0.001001252,0,0.001251564,0,12,290.5,235,5
122,Strain Harderned (Hard),0,0.95623906,0,0,0,0,0,0.002500625,0.000500125,0,0,0.0020005,0,0,0.035008752,0.000500125,0,0,0,0.001250313,0,0.00100025,0,0.00100025,0,12,290.5,235,5
123,Strain Harderned (Hard),0,0.934,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.006,0,0,0,0,0,0,0,0,0,7,400,310,5
124,Strain Harderned (Hard),0,0.9988,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,145,140,5
125,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,5,180,170,5
126,Strain Harderned (Hard),0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.006,0,0,0,0,0,0,0,0,0,4,195,170,5
127,Strain Harderned (Hard),0,0.9868,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,5,175,170,5
128,Strain Harderned (Hard),0,0.983237428,0,0,0,0,0,0.000500375,0.001000751,0,0,0.003502627,0,0,0.008006005,0.001000751,0,0,0,0.001501126,0,0,0,0.001250938,0,8,180,165,5
129,Strain Harderned (Hard),0,0.958719039,0,0,0,0,0,0.001501126,0.000500375,0,0,0.002001501,0,0,0.031023267,0.002501876,0,0,0,0.002001501,0,0.000750563,0,0.001000751,0,8.5,277.5,212,5
130,Strain Harderned (Hard),0,0.945709282,0,0,0,0,0,0.000500375,0.000750563,0,0,0.001751313,0,0,0.045033775,0.003502627,0,0,0,0.001000751,0,0.000500375,0,0.001250938,0,8,339,251.5,5
131,Strain Harderned (Hard),0,0.9999,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,5,117.210869,110.316112,5
